season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,10,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,26.83,1,21.74,3,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Detroit Lions,Detroit Lions,Detroit Lions,26.33,2,21.79,2,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Kansas City Chiefs,Kansas City Chiefs,Kansas City Chiefs,26.33,3,21.51,5,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,25.46,4,20.54,13,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Buffalo Bills,Buffalo Bills,Buffalo Bills,24.75,5,18.07,30,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens,24.16,6,21.0,7,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Denver Broncos,Denver Broncos,Denver Broncos,24.07,7,18.49,29,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,24.03,8,19.92,19,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Green Bay Packers,Green Bay Packers,Green Bay Packers,23.87,9,19.11,26,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,22.65,10,17.62,31,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Houston Texans,Houston Texans,Houston Texans,22.64,11,20.61,12,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,New England Patriots,New England Patriots,New England Patriots,21.89,12,16.21,32,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,21.68,13,21.72,4,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,San Francisco 49ers,San Francisco 49ers,San Francisco 49ers,21.28,14,20.63,11,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.65,15,19.19,23,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
2025,10,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,20.42,16,19.15,24,2.58,http://sagarin.com/sports/nflsend.htm,2025-11-23T01:52:58.142253Z,NFL 2025 through games of 2025 November 17 Monday - Week 11
